Text,Explanations,Aspect
"“When i had job during high school I would cry and get angry before most of my shift, and I still do it to this day with preparing for a job interview -that I am unsure of taking- or anything that involves talking to strangers and new people.”",Unsure / cry and get angry before most of my shift/,0
"""I never doubted he loved me and still don't but am unsure if I should stay with him because of this and support him like I want or leave like everyone is telling me too because he keeps spiralling""",Unsure if I should stay with him/ ,2
"“She has struggled for the last 15 to 10 years with depression, and drug and alcohol use.”",depression/ drug and alcohol use/,3
"“I also feel pressure to travel as I am in my late twenties, and that it will be harder to do when older.”",Feel pressure/will be harder/,0
“A part of me not wanting a job is that i get extreme performance anxiety and have social anxiety that i think i'm not able to cope.”,Performance anxiety/ ,0
"“Depression is massively affecting their daily life - they miss appointments, work, breakdown in tears and explode in anger.”",Depression is massively affecting / breakdown in tears/ explode in anger/,3
“I am so upset and anxious and I guess I just want someone to make that decision for me”,so upset and anxious/,3
"“His dad took away all of his devices, constantly guilt tripped him”",Constantly guilt tripped him/,2
"""I don't feel comfortable getting close to anyone still even after so much time has elapsed.""",Don’t feel comfortable getting close to anyone /,2
“Sexually abused for years as a young child. Never been in a relationship. Every guy in my life has told me I'm not good enough.”,Sexually abused for years/ never been in a relationship/ told me I’m not good enough/,2
“I am sick and tired of fighting the illness or illnesses I have.”,I am sick/ tired of fighting the illness/,1
“I've been going through a pretty low stage for the past few months and have gotten used to this very low bar of mood. I've also just been very in my own head (more than normal)”,Pretty low stage/ low bar of mood/ ,1
"""I can’t eat, I feel sick.""",can’t eat/ feel sick/,1
"""I struggle with communication, eye contact. Over explain and talking but to softly. People pleasing issues. Emotionally intense.""",Struggle with communication/ people pleasing issues/,2
“I’m at the point where I feel like I’m going to snap and go crazy and use violence because inside I’m so angry at them for taking advantage of me and I’m angry at myself because I just want to stop!”,feel like I’m going to snap and go crazy/ so angry at them for taking advantage of me/ angry at myself/ just want to stop/,3
"“1 child has gone virtually no contact, the youngest is verging on the same. Son is the only one still in semi-regular contact and he struggles with various aspects of their relationship. He has been on a knife's edge for some time and I don't know how to approach him.”",Virtually no contact/ struggles with various aspects of their relationship/,2
"“On-top of that there is financial issues, mental health issues, etc…I don't know if I can handle it anymore.”",Financial issues/ don’t know if I can handle anymore/,0
"“A few might remember my ongoing thread about gf and her situation, us and the rest. Sadly though, we've broken up after all that.l'm 59 now, just feels hopeless.”",We’ve broken up/ feels hopeless/,2
"“The negative thoughts are getting stronger. I feel like i’m failing everyone and everything. Im past the point of crying, i’m just empty now. I don’t know how else to ask for help.”",negative thoughts are getting stronger/ feel like I’m failing everyone and everything/ i’m just empty now/ ,3
“I'm bottling up my true feelings because I have young siblings who have no clue what's going on right now.”,bottling up my true feelings/,3
"“i won't suicide, i know myself. just wanna find someone to share my feelings, i have no friends to share my struggles, they probably think i'm weird”",wanna find someone to share my feelings/ have no friends to share my struggles/,2
"""Something happened this week and I feel so sad and lonely. I just want it to end. I want to tell someone but everyone seems so happy. Or I don’t know how.""",Want to tell someone/ don’t know how/,2
"“But she has a lot of family and friends and spends time with them without including me.My birthdays I don't get ""happy birthday "" calls or texts.No one enquired with me how I was going during chemo.”",Spends time with them without including me/,2
